Task, Start Time, Stop Time
unpacking, 2018-02-11T12:45:13-05:00, 2018-02-11T13:05:46-05:00
weld, 2018-02-11T13:39:38-05:00, 2018-02-11T13:54:30-05:00
shielding, 2018-02-11T15:00:55-05:00, 2018-02-11T15:39:51-05:00
trailer, 2018-02-11T15:46:56-05:00, 2018-02-11T16:06:26-05:00
academic, 2018-02-11T16:11:15-05:00, 2018-02-11T16:24:59-05:00
solar, 2018-02-11T16:47:49-05:00, 2018-02-11T17:39:25-05:00
chores, 2018-02-11T17:40:20-05:00, 2018-02-11T17:56:58-05:00
radio, 2018-02-12T07:50:50-05:00, 2018-02-12T08:02:48-05:00
eeg, 2018-02-12T08:06:20-05:00, 2018-02-12T08:54:56-05:00
papers and planning, 2018-02-12T09:48:31-05:00, 2018-02-12T10:10:27-05:00
radio, 2018-02-12T10:36:43-05:00, 2018-02-12T11:00:41-05:00
eeg, 2018-02-13T10:20:57-05:00, 2018-02-13T10:30:57-05:00
